Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
SRR6443876_1	95.76571595824254	52.0	250.9944063221568	251	40.0	30749.0
SRR6443876_2	89.47608052294383	52.0	250.12745129922925	250	50.0	30749.0
SRR6443877_1	96.49728455353008	50.0	250.9931587588936	251	40.0	47506.0
SRR6443877_2	90.31911758514714	51.0	250.32766387403697	250	50.0	47506.0
SRR6443878_1	96.3902390880604	51.0	250.99170964001087	251	40.0	40529.0
SRR6443878_2	88.62789607441584	51.0	250.8669594611266	251	50.0	40529.0
SRR6443879_1	96.69464304217179	48.0	250.99564811936588	251	40.0	9651.0
SRR6443879_2	86.56097813698062	49.0	250.0411356336131	250	50.0	9651.0
SRR6443880_1	96.34310086091146	52.0	250.99368138377696	251	40.0	12661.0
SRR6443880_2	86.89676960745597	52.0	250.08506437090278	250	50.0	12661.0
SRR6443881_1	96.71633374541827	50.0	250.9919751881493	251	40.0	46107.0
SRR6443881_2	91.52189472314399	51.0	250.31418222829504	250	40.0	46107.0
SRR6443882_1	96.9594799829901	51.0	250.9945629062633	251	40.0	32922.0
SRR6443882_2	90.49267966709192	52.0	250.35814956564	250	40.0	32922.0
SRR6443883_1	97.48097239577417	49.0	250.99324094058844	251	40.0	35212.0
SRR6443883_2	90.90366920368056	49.0	250.08641940247642	250	50.0	35212.0
SRR6443884_1	96.12091151560526	50.0	250.99319170838987	251	30.0	42742.0
SRR6443884_2	86.6056805951991	50.0	250.2647045061064	250	50.0	42742.0
SRR6443885_1	97.01454614749413	49.0	250.98945563107412	251	40.0	31486.0
SRR6443885_2	90.95471002985454	50.0	250.7681191640729	251	40.0	31486.0
SRR6443886_1	95.59652306810584	51.0	250.99197631101347	251	30.0	20938.0
SRR6443886_2	86.2737606266119	52.0	250.1098481230299	250	50.0	20938.0
